n_train_a,n_guard_a,n_train_d,n_guard_d,n_train_r,n_guard_r,pfa,precision,recall,f1,tp,fp,fn
2,1,3,2,5,3,1e-05,0.02678380115706021,0.625,0.051366344770906104,125,4542,75
2,1,5,1,5,2,0.01,0.012400856099710436,0.985,0.024493348253139372,197,15689,3
2,1,5,1,5,2,0.003,0.018214252182893624,0.97,0.035757073080822044,194,10457,6
2,1,5,1,5,2,0.001,0.023054403513051963,0.945,0.04501071683734222,189,8009,11
2,1,5,1,5,2,0.0003,0.02635794378913645,0.905,0.05122399886797792,181,6686,19
2,1,5,1,5,2,0.0001,0.027881342194845192,0.86,0.054011618778458156,172,5997,28
2,1,5,1,5,2,3e-05,0.02867513611615245,0.79,0.0553415061295972,158,5352,42
2,1,5,1,5,2,1e-05,0.029353821907013397,0.745,0.05648218347232752,149,4927,51
2,1,5,1,5,3,0.01,0.011862467634130186,0.985,0.023442613196882248,197,16410,3
2,1,5,1,5,3,0.003,0.01709628842235805,0.965,0.033597353990773786,193,11096,7
2,1,5,1,5,3,0.001,0.022552839768567718,0.955,0.04406505940708271,191,8278,9
2,1,5,1,5,3,0.0003,0.026342306031380453,0.915,0.05121029802714425,183,6764,17
2,1,5,1,5,3,0.0001,0.027984471044969265,0.865,0.054214979630209964,173,6009,27
2,1,5,1,5,3,3e-05,0.02866869736606343,0.8,0.055353745026811965,160,5421,40
2,1,5,1,5,3,1e-05,0.028240831535595215,0.72,0.0543498773353463,144,4955,56
2,1,5,2,5,2,0.01,0.01212047012732615,0.99,0.023947750362844706,198,16138,2
2,1,5,2,5,2,0.003,0.017335848378693973,0.965,0.03405982528897909,193,10940,7
2,1,5,2,5,2,0.001,0.022171165996553704,0.965,0.0433464345873105,193,8512,7
2,1,5,2,5,2,0.0003,0.02550811621879689,0.935,0.049661399548532735,187,7144,13
2,1,5,2,5,2,0.0001,0.027301683603822235,0.9,0.05299573089945532,180,6413,20
2,1,5,2,5,2,3e-05,0.02899527983816588,0.86,0.05609915198956295,172,5760,28
