frame,t_s,track_id,cls,conf,x1,y1,x2,y2,foot_u,foot_v,X,Y
11,2.2,1.0,cyclist,0.680182933807373,1430.668701171875,1458.900634765625,1611.980712890625,1603.0625,1521.32470703125,1603.0625,-36.328073228915585,-8.692747243804101
12,2.4000000000000004,1.0,cyclist,0.6989358067512512,1428.912109375,1457.958984375,1611.28515625,1602.8509521484375,1520.0986328125,1602.8509521484375,-37.44699116137314,-8.972949574043325
13,2.6,1.0,cyclist,0.5453183650970459,1429.6583251953125,1459.082763671875,1610.6724853515625,1602.634521484375,1520.1654052734375,1602.634521484375,-37.778986553100644,-9.06495416797707
14,2.8000000000000003,1.0,cyclist,0.636579692363739,1428.9658203125,1457.291748046875,1612.4173583984375,1602.835205078125,1520.6915893554688,1602.835205078125,-37.09484158991397,-8.889267943124011
15,3.0,1.0,cyclist,0.6920750141143799,1428.8232421875,1456.09228515625,1613.130126953125,1602.4696044921875,1520.9766845703125,1602.4696044921875,-37.535967601114955,-9.015801699774427
16,3.2,1.0,cyclist,0.5466005802154541,1428.2562255859375,1456.3931884765625,1612.7991943359375,1602.9783935546875,1520.5277099609375,1602.9783935546875,-36.9576097006246,-8.848366842719475
17,3.4000000000000004,1.0,cyclist,0.780884325504303,1428.3001708984375,1456.4156494140625,1612.0914306640625,1602.4197998046875,1520.19580078125,1602.4197998046875,-38.13829462881584,-9.163655342566331
18,3.6,1.0,cyclist,0.6881549954414368,1428.12646484375,1455.8182373046875,1612.483154296875,1602.366455078125,1520.3048095703125,1602.366455078125,-38.16037707545162,-9.172028038129946
19,3.8000000000000003,1.0,cyclist,0.7361495494842529,1429.819580078125,1457.291748046875,1612.27099609375,1602.305908203125,1521.0452880859375,1602.305908203125,-37.775603330293045,-9.08276334948868
20,4.0,1.0,cyclist,0.6888687610626221,1429.139892578125,1456.787109375,1612.3782958984375,1602.4306640625,1520.7590942382812,1602.4306640625,-37.74547103998736,-9.068441582954907
21,4.2,1.0,cyclist,0.6736463904380798,1429.845947265625,1457.1478271484375,1613.0616455078125,1602.831298828125,1521.4537963867188,1602.831298828125,-36.62571880762856,-8.776824225181137
22,4.4,1.0,cyclist,0.6279534697532654,1430.1259765625,1457.4603271484375,1612.6376953125,1602.50927734375,1521.3818359375,1602.50927734375,-37.20791619868085,-8.934615365425222
23,4.6000000000000005,1.0,cyclist,0.6938130259513855,1429.0255126953125,1456.48583984375,1612.88427734375,1602.5662841796875,1520.9548950195312,1602.5662841796875,-37.38382186058169,-8.97375530817386
24,4.800000000000001,1.0,cyclist,0.7118201851844788,1428.8726806640625,1455.3665771484375,1613.38916015625,1602.048583984375,1521.1309204101562,1602.048583984375,-38.17347038056381,-9.193373132740913
25,5.0,1.0,cyclist,0.4900611639022827,1429.851806640625,1456.84375,1612.9176025390625,1602.2957763671875,1521.3847045898438,1602.2957763671875,-37.5715595116721,-9.034158874797333
26,5.2,1.0,cyclist,0.6684016585350037,1429.6531982421875,1457.454345703125,1612.449462890625,1602.496337890625,1521.0513305664062,1602.496337890625,-37.44167712929419,-8.991601778815337
27,5.4,1.0,cyclist,0.8149499297142029,1429.7181396484375,1457.1326904296875,1612.434814453125,1602.098876953125,1521.0764770507812,1602.098876953125,-38.12027259840963,-9.177658729754196
28,5.6000000000000005,1.0,cyclist,0.6978257298469543,1429.41064453125,1457.2410888671875,1612.337646484375,1602.310302734375,1520.8741455078125,1602.310302734375,-37.880654887713064,-9.107831326370126
29,5.800000000000001,1.0,cyclist,0.7193658947944641,1429.736572265625,1456.879150390625,1613.23779296875,1602.4033203125,1521.4871826171875,1602.4033203125,-37.32083419551682,-8.967718145324493
30,6.0,1.0,cyclist,0.7347400784492493,1429.284423828125,1456.7362060546875,1612.7550048828125,1602.2911376953125,1521.0197143554688,1602.2911376953125,-37.81827961051559,-9.093885632754459
31,6.2,1.0,cyclist,0.8284085988998413,1428.74560546875,1455.751220703125,1613.5123291015625,1602.5870361328125,1521.1289672851562,1602.5870361328125,-37.237013764497014,-8.937277361195408
32,6.4,1.0,cyclist,0.6637555956840515,1429.7445068359375,1457.9031982421875,1612.224365234375,1602.701416015625,1520.9844360351562,1602.701416015625,-37.13516410668744,-8.906407566573078
