n_train_a,n_guard_a,n_train_d,n_guard_d,n_train_r,n_guard_r,pfa,tar_thresh,precision,recall,f1,tp,fp,fn
1,1,1,2,5,2,0.0001,-30.0,0.14917825537294563,0.59,0.23814328960645811,118,673,82
1,1,1,2,5,2,0.0001,-25.0,0.16129032258064516,0.5,0.24390243902439024,100,520,100
1,1,1,2,5,2,0.0001,-20.0,0.1532258064516129,0.38,0.21839080459770116,76,420,124
1,1,1,2,5,2,0.0001,-15.0,0.06597222222222222,0.095,0.0778688524590164,19,269,181
1,1,1,2,5,2,0.0001,-10.0,0.0,0.0,0.0,0,56,200
1,1,1,2,5,2,0.0001,-5.0,1.0,0.0,0.0,0,0,200
1,1,1,2,5,2,0.0001,0.0,1.0,0.0,0.0,0,0,200
1,1,1,2,5,2,3e-05,-9999.0,0.02768496420047733,0.58,0.052847380410022786,116,4074,84
1,1,1,2,5,2,3e-05,-40.0,0.046736502820306204,0.58,0.08650260999254288,116,2366,84
1,1,1,2,5,2,3e-05,-35.0,0.11897435897435897,0.58,0.1974468085106383,116,859,84
1,1,1,2,5,2,3e-05,-30.0,0.14993481095176012,0.575,0.23784901758014482,115,652,85
1,1,1,2,5,2,3e-05,-25.0,0.16071428571428573,0.495,0.24264705882352944,99,517,101
1,1,1,2,5,2,3e-05,-20.0,0.15212981744421908,0.375,0.21645021645021648,75,418,125
1,1,1,2,5,2,3e-05,-15.0,0.06597222222222222,0.095,0.0778688524590164,19,269,181
1,1,1,2,5,2,3e-05,-10.0,0.0,0.0,0.0,0,56,200
1,1,1,2,5,2,3e-05,-5.0,1.0,0.0,0.0,0,0,200
1,1,1,2,5,2,3e-05,0.0,1.0,0.0,0.0,0,0,200
1,1,1,2,5,2,1e-05,-9999.0,0.028735632183908046,0.55,0.05461767626613704,110,3718,90
1,1,1,2,5,2,1e-05,-40.0,0.04612159329140461,0.55,0.08510638297872339,110,2275,90
1,1,1,2,5,2,1e-05,-35.0,0.11982570806100218,0.55,0.19677996422182473,110,808,90
1,1,1,2,5,2,1e-05,-30.0,0.14572192513368984,0.545,0.229957805907173,109,639,91
1,1,1,2,5,2,1e-05,-25.0,0.15823817292006526,0.485,0.23862238622386223,97,516,103
1,1,1,2,5,2,1e-05,-20.0,0.15040650406504066,0.37,0.21387283236994223,74,418,126
1,1,1,2,5,2,1e-05,-15.0,0.06597222222222222,0.095,0.0778688524590164,19,269,181
1,1,1,2,5,2,1e-05,-10.0,0.0,0.0,0.0,0,56,200
1,1,1,2,5,2,1e-05,-5.0,1.0,0.0,0.0,0,0,200
1,1,1,2,5,2,1e-05,0.0,1.0,0.0,0.0,0,0,200
1,1,1,2,5,3,0.01,-9999.0,0.009465817879878217,0.855,0.018724336162058583,171,17894,29
1,1,1,2,5,3,0.01,-40.0,0.04523809523809524,0.855,0.08592964824120604,171,3609,29
1,1,1,2,5,3,0.01,-35.0,0.10594795539033457,0.855,0.18853362734288864,171,1443,29
1,1,1,2,5,3,0.01,-30.0,0.15917602996254682,0.85,0.26813880126182965,170,898,30
1,1,1,2,5,3,0.01,-25.0,0.1728395061728395,0.56,0.2641509433962264,112,536,88
1,1,1,2,5,3,0.01,-20.0,0.1532258064516129,0.38,0.21839080459770116,76,420,124
1,1,1,2,5,3,0.01,-15.0,0.06597222222222222,0.095,0.0778688524590164,19,269,181
1,1,1,2,5,3,0.01,-10.0,0.0,0.0,0.0,0,56,200
1,1,1,2,5,3,0.01,-5.0,1.0,0.0,0.0,0,0,200
1,1,1,2,5,3,0.01,0.0,1.0,0.0,0.0,0,0,200
1,1,1,2,5,3,0.003,-9999.0,0.011663889550107118,0.735,0.02296336796063423,147,12456,53
1,1,1,2,5,3,0.003,-40.0,0.04210827843024921,0.735,0.07965321051205634,147,3344,53
1,1,1,2,5,3,0.003,-35.0,0.10130944176430048,0.735,0.17807389460932768,147,1304,53
1,1,1,2,5,3,0.003,-30.0,0.1491317671092952,0.73,0.24766751484308738,146,833,54
1,1,1,2,5,3,0.003,-25.0,0.17156105100463678,0.555,0.26210153482880755,111,536,89
1,1,1,2,5,3,0.003,-20.0,0.1532258064516129,0.38,0.21839080459770116,76,420,124
1,1,1,2,5,3,0.003,-15.0,0.06597222222222222,0.095,0.0778688524590164,19,269,181
1,1,1,2,5,3,0.003,-10.0,0.0,0.0,0.0,0,56,200
1,1,1,2,5,3,0.003,-5.0,1.0,0.0,0.0,0,0,200
1,1,1,2,5,3,0.003,0.0,1.0,0.0,0.0,0,0,200
1,1,1,2,5,3,0.001,-9999.0,0.013563090605892163,0.61,0.026536160957041872,122,8873,78
1,1,1,2,5,3,0.001,-40.0,0.03799439426969791,0.61,0.07153327469950162,122,3089,78
1,1,1,2,5,3,0.001,-35.0,0.09348659003831418,0.61,0.16212624584717608,122,1183,78
1,1,1,2,5,3,0.001,-30.0,0.13340683572216097,0.605,0.21860885275519423,121,786,79
1,1,1,2,5,3,0.001,-25.0,0.16873065015479877,0.545,0.2576832151300236,109,537,91
1,1,1,2,5,3,0.001,-20.0,0.1532258064516129,0.38,0.21839080459770116,76,420,124
1,1,1,2,5,3,0.001,-15.0,0.06597222222222222,0.095,0.0778688524590164,19,269,181
1,1,1,2,5,3,0.001,-10.0,0.0,0.0,0.0,0,56,200
1,1,1,2,5,3,0.001,-5.0,1.0,0.0,0.0,0,0,200
1,1,1,2,5,3,0.001,0.0,1.0,0.0,0.0,0,0,200
1,1,1,2,5,3,0.0003,-9999.0,0.01761221945137157,0.565,0.0341596130592503,113,6303,87
1,1,1,2,5,3,0.0003,-40.0,0.0387517146776406,0.565,0.07252888318356868,113,2803,87
1,1,1,2,5,3,0.0003,-35.0,0.09877622377622378,0.565,0.16815476190476192,113,1031,87
1,1,1,2,5,3,0.0003,-30.0,0.13130128956623682,0.56,0.2127255460588794,112,741,88
1,1,1,2,5,3,0.0003,-25.0,0.16352201257861634,0.52,0.2488038277511962,104,532,96
1,1,1,2,5,3,0.0003,-20.0,0.1532258064516129,0.38,0.21839080459770116,76,420,124
1,1,1,2,5,3,0.0003,-15.0,0.06597222222222222,0.095,0.0778688524590164,19,269,181
1,1,1,2,5,3,0.0003,-10.0,0.0,0.0,0.0,0,56,200
1,1,1,2,5,3,0.0003,-5.0,1.0,0.0,0.0,0,0,200
1,1,1,2,5,3,0.0003,0.0,1.0,0.0,0.0,0,0,200
1,1,1,2,5,3,0.0001,-9999.0,0.021386138613861388,0.54,0.04114285714285715,108,4942,92
1,1,1,2,5,3,0.0001,-40.0,0.04069329314242653,0.54,0.0756832515767344,108,2546,92
1,1,1,2,5,3,0.0001,-35.0,0.10526315789473684,0.54,0.1761827079934747,108,918,92
1,1,1,2,5,3,0.0001,-30.0,0.13408521303258145,0.535,0.21442885771543085,107,691,93
1,1,1,2,5,3,0.0001,-25.0,0.1592356687898089,0.5,0.24154589371980675,100,528,100
