tar_thresh,precision,recall,f1,tp,fp,fn
-10.642900466918945,0.010638297872340425,0.005,0.006802721088435375,1,93,199
-10.648159980773926,0.010526315789473684,0.005,0.006779661016949153,1,94,199
-10.651577949523926,0.010416666666666666,0.005,0.006756756756756757,1,95,199
-10.654008865356445,0.010309278350515464,0.005,0.006734006734006735,1,96,199
-10.661181449890137,0.01020408163265306,0.005,0.006711409395973154,1,97,199
-10.677872657775879,0.010101010101010102,0.005,0.006688963210702342,1,98,199
-10.687724113464355,0.01,0.005,0.006666666666666667,1,99,199
-10.688739776611328,0.009900990099009901,0.005,0.00664451827242525,1,100,199
-10.694238662719727,0.00980392156862745,0.005,0.00662251655629139,1,101,199
-10.711856842041016,0.009708737864077669,0.005,0.0066006600660066,1,102,199
-10.71638011932373,0.009615384615384616,0.005,0.006578947368421053,1,103,199
-10.76524829864502,0.009523809523809525,0.005,0.006557377049180328,1,104,199
-10.780950546264648,0.009433962264150943,0.005,0.006535947712418301,1,105,199
-10.803984642028809,0.009345794392523364,0.005,0.006514657980456026,1,106,199
-10.834287643432617,0.009259259259259259,0.005,0.006493506493506493,1,107,199
-10.869735717773438,0.009174311926605505,0.005,0.006472491909385114,1,108,199
-10.885323524475098,0.00909090909090909,0.005,0.006451612903225806,1,109,199
-10.917646408081055,0.009009009009009009,0.005,0.006430868167202573,1,110,199
-10.919904708862305,0.008928571428571428,0.005,0.00641025641025641,1,111,199
-10.925227165222168,0.008849557522123894,0.005,0.006389776357827476,1,112,199
-10.926919937133789,0.008771929824561403,0.005,0.006369426751592356,1,113,199
-10.930155754089355,0.008695652173913044,0.005,0.00634920634920635,1,114,199
-10.955185890197754,0.008620689655172414,0.005,0.006329113924050633,1,115,199
-10.958714485168457,0.008547008547008548,0.005,0.006309148264984227,1,116,199
-11.022581100463867,0.00847457627118644,0.005,0.00628930817610063,1,117,199
-11.064319610595703,0.008403361344537815,0.005,0.006269592476489029,1,118,199
-11.087475776672363,0.008333333333333333,0.005,0.00625,1,119,199
-11.116107940673828,0.008264462809917356,0.005,0.006230529595015576,1,120,199
-11.121509552001953,0.00819672131147541,0.005,0.006211180124223603,1,121,199
-11.142156600952148,0.008130081300813009,0.005,0.006191950464396286,1,122,199
-11.144033432006836,0.008064516129032258,0.005,0.006172839506172839,1,123,199
-11.154769897460938,0.008,0.005,0.006153846153846154,1,124,199
