time,measurement_id,x,y,is_validated_for_T0
9,4,286.495913006555,1.666666666666667,0
9,5,286.87739890935995,1.666666666666667,0
10,0,283.44402578411496,2.7777777777777786,1
10,1,285.73294120094494,1.666666666666667,0
10,2,286.11442710375,1.666666666666667,0
11,0,283.06253988131,2.7777777777777786,1
11,1,283.44402578411496,2.7777777777777786,1
11,2,284.96996939533494,1.666666666666667,0
11,3,285.35145529814,1.666666666666667,0
11,4,285.73294120094494,1.666666666666667,0
12,0,282.68105397850496,2.7777777777777786,1
12,1,283.06253988131,2.7777777777777786,1
12,2,284.58848349253,1.666666666666667,0
12,3,284.96996939533494,1.666666666666667,0
12,4,285.35145529814,1.666666666666667,0
13,0,283.82551168692,1.666666666666667,0
13,1,284.2069975897249,1.666666666666667,0
13,2,284.58848349253,1.666666666666667,0
13,3,284.96996939533494,1.666666666666667,0
14,0,281.91808217289497,2.7777777777777786,1
14,1,283.82551168692,1.666666666666667,0
14,2,284.2069975897249,1.666666666666667,0
15,0,281.53659627008994,2.7777777777777786,1
15,1,283.06253988131,1.666666666666667,0
15,2,283.44402578411496,1.666666666666667,0
15,3,283.82551168692,1.666666666666667,0
16,0,282.68105397850496,1.666666666666667,0
16,1,283.06253988131,1.666666666666667,0
16,2,283.44402578411496,1.666666666666667,0
17,0,281.91808217289497,1.666666666666667,0
17,1,282.29956807569994,1.666666666666667,0
17,2,282.68105397850496,1.666666666666667,0
17,3,284.2069975897249,1.666666666666667,0
18,0,281.53659627008994,2.7777777777777786,1
18,1,281.53659627008994,1.666666666666667,0
18,2,281.91808217289497,1.666666666666667,0
18,3,283.44402578411496,1.666666666666667,0
19,0,279.24768085326,2.7777777777777786,1
19,1,281.155110367285,2.7777777777777786,1
19,2,281.155110367285,1.666666666666667,0
19,3,281.53659627008994,1.666666666666667,0
19,4,281.91808217289497,1.666666666666667,0
20,0,280.77362446447995,2.7777777777777786,1
20,1,280.77362446447995,1.666666666666667,0
20,2,281.155110367285,1.666666666666667,0
20,3,282.68105397850496,1.666666666666667,0
21,0,280.01065265887,2.7777777777777786,1
21,1,280.392138561675,2.7777777777777786,1
21,2,280.392138561675,3.888888888888889,0
21,3,280.392138561675,1.666666666666667,0
21,4,282.29956807569994,1.666666666666667,0
22,0,280.01065265887,1.666666666666667,0
22,1,280.01065265887,2.7777777777777786,1
22,2,280.01065265887,2.7777777777777786,1
22,3,280.01065265887,2.7777777777777786,1
22,4,280.01065265887,3.888888888888889,0
22,5,281.91808217289497,1.666666666666667,0
22,6,282.29956807569994,1.666666666666667,0
23,0,279.24768085326,2.7777777777777786,1
23,1,279.62916675606493,2.7777777777777786,1
23,2,279.62916675606493,2.7777777777777786,1
23,3,279.62916675606493,3.888888888888889,0
23,4,279.62916675606493,1.666666666666667,0
23,5,280.01065265887,1.666666666666667,0
24,0,279.24768085326,2.7777777777777786,1
24,1,279.24768085326,3.888888888888889,0
25,0,276.57727953362496,2.7777777777777786,1
25,1,278.86619495045494,2.7777777777777786,1
25,2,279.24768085326,2.7777777777777786,1
25,3,279.24768085326,3.888888888888889,0
26,0,278.86619495045494,2.7777777777777786,1
26,1,278.86619495045494,2.7777777777777786,1
26,2,278.86619495045494,3.888888888888889,0
26,3,277.72173724204,1.666666666666667,0
27,0,278.48470904765,2.7777777777777786,1
27,1,278.86619495045494,2.7777777777777786,1
27,2,278.48470904765,3.888888888888889,0
27,3,276.95876543643,1.666666666666667,0
27,4,277.3402513392349,1.666666666666667,0
28,0,278.10322314484495,2.7777777777777786,1
28,1,278.48470904765,2.7777777777777786,1
28,2,276.57727953362496,1.666666666666667,0
28,3,276.95876543643,1.666666666666667,0
29,0,274.66985001959995,2.7777777777777786,0
29,1,277.72173724204,2.7777777777777786,1
29,2,278.10322314484495,2.7777777777777786,1
29,3,278.10322314484495,3.888888888888889,0
29,4,276.19579363081994,1.666666666666667,0
29,5,276.57727953362496,1.666666666666667,0
30,0,277.72173724204,2.7777777777777786,1
30,1,277.72173724204,3.888888888888889,0
30,2,276.19579363081994,1.666666666666667,0
30,3,276.57727953362496,1.666666666666667,0
31,0,277.3402513392349,2.7777777777777786,1
31,1,277.3402513392349,3.888888888888889,0
31,2,275.051335922405,1.666666666666667,0
31,3,275.43282182520994,1.666666666666667,0
31,4,275.81430772801497,1.666666666666667,0
